id,tipo,cargo,fecha,año,periodo_inicio,periodo_fin,periodo,id_región,región,circunscripción_senatorial,distrito,comuna,id_circunscripción,circunscripción,sexo_mesa,candidato,nombre,apellido1,apellido2,sexo,resultado,partido,sigla,lista,válidos
94,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Putre,4,Putre,Mujer,Lagos Cosgrove Julio,Julio Eloy,Lagos,Cosgrove,Hombre,Si,Independiente,INDEP,B,71
95,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Putre,4,Putre,Mujer,Dougnac Rodriguez Fernando,Fernando Sergio,Dougnac,Rodriguez,Hombre,,Independiente,INDEP,CI,17
96,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Putre,4,Putre,Mujer,Soria Quiroga Jorge Alejandro,Jorge Alejandro,Soria,Quiroga,Hombre,,Independiente,INDEP,CI,4
97,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Putre,4,Putre,Mujer,Baraquett Jorratt Yulia,Julia,Baraquett,Jorratt,Mujer,,Independiente,INDEP,E,7
98,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Putre,4,Putre,Mujer,Pino Parraguez Raquel,Raquel Maria,Pino,Parraguez,Mujer,,Independiente,INDEP,E,14
99,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Putre,4,Putre,Mujer,Votos Nulos, ,,,,,  ,   ,,20
100,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Putre,4,Putre,Mujer,Votos En Blanco, ,,,,,  ,   ,,32
101,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Putre,5,Belen,Hombre,Palma Fourcade Anibal,Anibal Francisco,Palma,Fourcade,Hombre,,Independiente,INDEP,A,8
102,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Putre,5,Belen,Hombre,Palza Corvacho Humberto,Humberto,Palza,Corvacho,Hombre,Si,Democrata Cristiano,PDC,A,61
103,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Putre,5,Belen,Hombre,Abusleme Alfaro Gabriel,Gabriel Eduardo,Abusleme,Alfaro,Hombre,,Renovacion Nacional,RN,B,12
104,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Putre,5,Belen,Hombre,Lagos Cosgrove Julio,Julio Eloy,Lagos,Cosgrove,Hombre,Si,Independiente,INDEP,B,50
105,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Putre,5,Belen,Hombre,Dougnac Rodriguez Fernando,Fernando Sergio,Dougnac,Rodriguez,Hombre,,Independiente,INDEP,CI,14
