id,tipo,cargo,fecha,año,periodo_inicio,periodo_fin,periodo,vuelta,id_región,región,id_provincia,provincia,comuna,circunscripción,sexo_mesa,candidato,nombre,apellido1,apellido2,sexo,resultado,partido,sigla,válidos
4776,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,2,Parinacota,General Lagos,General Lagos,Mujer,Votos En Blanco ,,,,,,,,16
4777,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,3,Iquique,Huara,Chiapa,Hombre,Arturo Alessandri,Arturo,Alessandri,Besa,Hombre,,Independiente,INDEP,9
4778,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,3,Iquique,Huara,Chiapa,Hombre,Cristian Reitze,Cristian,Reitze,Campos,Hombre,,Alianza Humanista Verde,AHV,1
4779,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,3,Iquique,Huara,Chiapa,Hombre,Eduardo Frei,Eduardo,Frei,Ruiz-Tagle,Hombre,Si,Democrata Cristiano,DC,17
4780,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,3,Iquique,Huara,Chiapa,Hombre,Eugenio Pizarro,Eugenio,Pizarro,Poblete,Hombre,,Independiente,INDEP,4
4781,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,3,Iquique,Huara,Chiapa,Hombre,Jose Piñera,Jose,Piñera,Echenique,Hombre,,Independiente,INDEP,2
4782,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,3,Iquique,Huara,Chiapa,Hombre,Manfred Max,Manfred,Max,Neef,Hombre,,Independiente,INDEP,2
4783,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,3,Iquique,Huara,Chiapa,Hombre,Votos Nulos ,,,,,,,,11
4784,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,3,Iquique,Huara,Chiapa,Hombre,Votos En Blanco ,,,,,,,,6
4785,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,3,Iquique,Huara,Chiapa,Mujer,Arturo Alessandri,Arturo,Alessandri,Besa,Hombre,,Independiente,INDEP,26
4786,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,3,Iquique,Huara,Chiapa,Mujer,Cristian Reitze,Cristian,Reitze,Campos,Hombre,,Alianza Humanista Verde,AHV,0
4787,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,3,Iquique,Huara,Chiapa,Mujer,Eduardo Frei,Eduardo,Frei,Ruiz-Tagle,Hombre,Si,Democrata Cristiano,DC,31
4788,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,3,Iquique,Huara,Chiapa,Mujer,Eugenio Pizarro,Eugenio,Pizarro,Poblete,Hombre,,Independiente,INDEP,7
4789,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,3,Iquique,Huara,Chiapa,Mujer,Jose Piñera,Jose,Piñera,Echenique,Hombre,,Independiente,INDEP,5
4790,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,3,Iquique,Huara,Chiapa,Mujer,Manfred Max,Manfred,Max,Neef,Hombre,,Independiente,INDEP,3
4791,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,3,Iquique,Huara,Chiapa,Mujer,Votos Nulos ,,,,,,,,8
4792,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,3,Iquique,Huara,Chiapa,Mujer,Votos En Blanco ,,,,,,,,4
4793,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,3,Iquique,Huara,Huara,Hombre,Arturo Alessandri,Arturo,Alessandri,Besa,Hombre,,Independiente,INDEP,116
4794,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,3,Iquique,Huara,Huara,Hombre,Cristian Reitze,Cristian,Reitze,Campos,Hombre,,Alianza Humanista Verde,AHV,3
4795,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,3,Iquique,Huara,Huara,Hombre,Eduardo Frei,Eduardo,Frei,Ruiz-Tagle,Hombre,Si,Democrata Cristiano,DC,225
4796,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,3,Iquique,Huara,Huara,Hombre,Eugenio Pizarro,Eugenio,Pizarro,Poblete,Hombre,,Independiente,INDEP,27
4797,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,3,Iquique,Huara,Huara,Hombre,Jose Piñera,Jose,Piñera,Echenique,Hombre,,Independiente,INDEP,37
4798,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,3,Iquique,Huara,Huara,Hombre,Manfred Max,Manfred,Max,Neef,Hombre,,Independiente,INDEP,18
4799,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,3,Iquique,Huara,Huara,Hombre,Votos Nulos ,,,,,,,,35
4800,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,3,Iquique,Huara,Huara,Hombre,Votos En Blanco ,,,,,,,,33
4801,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,3,Iquique,Huara,Huara,Mujer,Arturo Alessandri,Arturo,Alessandri,Besa,Hombre,,Independiente,INDEP,177
4802,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,3,Iquique,Huara,Huara,Mujer,Cristian Reitze,Cristian,Reitze,Campos,Hombre,,Alianza Humanista Verde,AHV,6
