fecha,encuesta,aprueba,desaprueba,dif,,
21/09/2018,Cadem,45.00,41.00,4.00,,
14/09/2018,Cadem,43.00,44.00,-1.00,,
07/09/2018,Cadem,42.00,44.00,-2.00,,
31/08/2018,Cadem,47.00,42.00,5.00,,
31/08/2018,Criteria Research,49.00,40.00,9.00,,
29/08/2018,Adimark,48.00,47.00,1.00,,
24/08/2018,Cadem,47.00,37.00,10.00,,
17/08/2018,Cadem,45.00,39.00,6.00,,
10/08/2018,Cadem,45.00,40.00,5.00,,
03/08/2018,Cadem,45.00,39.00,6.00,,
30/07/2018,Criteria Research,49.00,41.00,8.00,,
27/07/2018,Adimark,52.00,41.00,11.00,,
27/07/2018,Cadem,49.00,37.00,12.00,,
20/07/2018,Cadem,54.00,33.00,21.00,,
13/07/2018,Cadem,54.00,30.00,24.00,,
06/07/2018,Cadem,55.00,30.00,25.00,,
30/06/2018,Cadem,57.00,31.00,26.00,,
28/06/2018,Criteria Research,60.00,29.00,31.00,,
27/06/2018,Adimark,52.00,40.00,12.00,,
22/06/2018,Cadem,58.00,28.00,30.00,,
15/06/2018,Cadem,60.00,24.00,36.00,,
08/06/2018,Cadem,58.00,26.00,32.00,,
01/06/2018,Cadem,57.00,26.00,31.00,,
29/05/2018,Adimark,50.00,40.00,10.00,,
25/05/2018,Cadem,57.00,26.00,31.00,,
23/05/2018,Criteria Research,56.00,29.00,27.00,,
18/05/2018,Cadem,55.00,27.00,28.00,,
11/05/2018,Cadem,54.00,30.00,24.00,,
04/05/2018,Cadem,58.00,24.00,34.00,,
27/04/2018,Adimark,54.00,30.00,24.00,,
27/04/2018,Cadem,55.00,29.00,26.00,,
20/04/2018,Cadem,58.00,24.00,34.00,,
16/04/2018,MORI,44.00,38.00,6.00,,
13/04/2018,Cadem,60.00,25.00,35.00,,
12/04/2018,Criteria Research,52.00,30.00,22.00,,
06/04/2018,Cadem,55.00,27.00,28.00,,
29/03/2018,Adimark,49.00,25.00,24.00,,
29/03/2018,Cadem,58.00,23.00,35.00,,
23/03/2018,Cadem,54.00,19.00,35.00,,
16/03/2018,Cadem,51.00,21.00,30.00,,
